trial_id,tweet,category,model_output,model_confidence
T0001,"""Girl....I cannot WAIIIIT to go to my high school reunion JUST to see who’s lives went to shit. Hoping that all the bitches who bullied me got the karma they deserved hahahah""",,age,0.997633
T0002,"""Marcus 22 Straight (?) Single Star Wars Star Wars A girl on high school bullied you by calling you a curly-haired fuck""",,age,0.9976585
T0003,"""You're a bit of a dork, aren't you?""",,not_cyberbullying,0.41265282
T0004,"""Tje clps on peel scholl dont care abt cyber bullies or discrimination or school matters that leads to multiple acts of violance being recorded and commit""",,age,0.9925035
T0005,"""This woman is delusional. I watched the whole freaking thing and Barr was the one the dems we’re trying to humiliate and bully. They’re a bunch of disrespectful goons. NADLER is the head goon and treated Barr like a school kid asking for a restroom break.""",,age,0.9974706
T0006,"""This is why you don't bully nerds in school - one day they'll grow up and try to kill everyone.""",,age,0.99739885
T0007,"""@ThaArsonist leave that little person alone....bully a different midget like @shybutpopular lol""",,not_cyberbullying,0.52968484
T0008,"""@the girls from my high schools who bullied me/hated me/wanted to fight me for no reason/called me daddy long legs trying to break my self esteem. You are lowkey obsessed with me and you look so dumb now sweetie.""",,age,0.99769574
T0009,"""Funny how the girls who bullied me in middle&amp; high school AND told me to kill myself are the ones preaching suicide awareness now...why weren’t you preaching awareness back then instead of pushing me to the brink of suicide?""",,age,0.99743867
T0010,"""I keep seeing things indicating a large overlap of girls who were bullies in high school becoming nurses and I don’t get it. Maybe it’s the Roald Dahl teacher theory.""",,age,0.99783224
T0011,"""Cheong Ah: ""That high school girl got bullied for two years, her friend suddenly turned her back on her, she didn't know why and was too afraid to ask. Waking up every day was a torture, going to school was terrifying."" Me: #BeautifulLoveWonderfulLife.""",,age,0.9976629
T0012,"""the way i legit had to leave public school in the middle of 7th grade bc the bullying became too bad but now those same bullies are trying to become the aesthetic they bullied me for in the first place.""",,age,0.99667114
T0013,"""Girl from high school in my dm’s: “Hey jas, looking good. How’re you? It’s been a long time” I’m shocked bc lt’s been a long time bc she literally bullied me in hs but we’re not going to talk about that ig""",,age,0.997615
T0014,"""As a 6’2’’ tall woman, seeing that Netflix movie about a tall girl in high school getting bullied is just unrealistic??? I got maybe a few backhanded remarks a handful of times. Also the whole idea that she needs a makeover to be seen as attractive as a girl over 6’0’’.....BAD!!!""",,age,0.99764156
T0015,"""BULLIES ARE ALL THE SAME; WHETHER THEY ARE IN THE SCHOOL YARD, IN THE WORKPLACE, OR RULING A COUNTRY THROUGH TERROR. THEY THRIVE ON FEAR AND INTIMIDATION. BULLIES GAIN THEIR STRENGTH THROUGH THE TIMID AND FAINT OF… https://www.instagram.com/p/CDDM5T6HqGP/?igshid=rvfl2irrtfx1""",,age,0.99673456
T0016,"""Realizing how my middle school bullies really taught me crisis and brand management at such an early age""",,age,0.9973443
T0017,"""ODD was a common ""diagnosis"" when I was in elementary school for class clowns and bullies""",,age,0.9971861
T0018,"""I aspired to be the cheetah girls when I was little, but in reality the cheetah girls would have been bullied mercilessly in any regular high school, even with all that talent""",,age,0.9977024
T0019,"""the girl who bullied you in high school unironically loves that quote the Great Gatsby about girls being fools""",,age,0.9975292
T0020,"""The girls whose boyfriends bullied me in high school are commenting on my pictures of me in drag saying “go off” or “ ”... like are you forgetting that you allowed your boyfriend to call me a faggot and cause years of trauma?""",,age,0.99785185
T0021,"""The online bullies whipped themselves up. One, I found, lived in my hometown, NYC, and taught at the local high school. After a brief exchange where she said I was ""a racist liar"" I called the superintendent and expressed my disappointment. Hope she is well.""",,age,0.9976654
T0022,"""LMAO I REALLY DO EXPOSING MYSELF ALL THE BULLIES IN HIGH SCHOOL WAS WORTH I GUESS HAHAHAHA""",,age,0.9972746
T0023,"""the girl who bullied me in high school is still in the same class as me and she's like the favourite of this goddamn teacher and she gets amazing grades too i fucking hate life""",,age,0.9977113
T0024,"""Just realized that all the girls who used to bully me in middle school and hs are either single moms, divorced, or dating someone who cheats on them and if that’s not the best karma ever idk what is""",,age,0.9976761
T0025,"""Trump is going to make fun of him because he’s forever a high school bully""",,age,0.9974994
T0026,"""A girl posted in a FB group today &amp; said she gets bullied in high school. People keep telling her she's a worthless sack of shit &amp; that everyone hates her. 13 people LAUGHED at her post. She asked for support &amp; got laughed at. That's how cruel people are. It really needs to end.""",,age,0.99777514
T0027,"""Yeah, we're ""united."" Sure. Experts are calling for the entire country to be shut down again to halt the surge in cases... Meanwhile, morons throughout the land crow that masks take ""their freedom"" and Trump tries to bully school districts into opening.""",,age,0.9975405
T0028,"""TikTok is just full of girls who would defo have bullied me at high school, I don't like it there""",,age,0.9969202
T0029,"""Realizing that not one of the girls who bullied me in high school who are my age or even older have a college degree or are doing anything with their life now but I am? DAMN that feels good.""",,age,0.99771774
T0030,"""Lmao it’s fuckin’ “I bullied a girl in high school and now attempt to run a page dedicated to Owning the Gamers but fail miserably at it constantly, also I was Definitely Not friends with a serial abuser who faked being suicidal for nudes of Gamergate egirls” Dawnya""",,age,0.99759597
T0031,"""Cw transphobia for some reason am awake and was scrolling thru the Venmo feed and noticed some girls from my high school that I was “friends “ w/ bullied me like make fun of me and my girlfriend based off my Instagram in their Venmo comments lol. Fucking transphobes""",,age,0.99789006
T0032,"""Some girls on my high school dress up as fortnite skins and nobody bullied them""",,age,0.9976561
T0033,"""When I was a high schooler girl some guys bullied me but I didn't notice it (I really don't care so I didn't know that I was being bullied until one teacher notice it???)""",,age,0.99736637
T0034,"""Murdoc scanned the two men. Both were pathetic, acting all tough like school yard bullies. He's dealt with more than a few of these. ""I'll 'chill out' when you bugger off!"" The bassists shoulders were up in increased rage. They did not want to take this further.urdocs anger--""",,age,0.9956938
T0035,"""All these nurses and medical professionals on tiktok keep outing themselves. People are shocked by how awful they are but none of this BS surprises me. There are kind nurses but a lot of them behave like the mean girls that bullied us in high school.""",,age,0.9977906
T0036,"""He was chased and bullied by his junior high school classmates. It was eventually arrested. A girl from a junior friend of the university was riding a bicycle while holding a kusa and saying Kusa. I really liked a good general store.""",,age,0.99773943
T0037,"""@xobambimarieox You'd get naked anyways you dumb nigger.We all know this so who gives a fuck if your camwhoring ass gets naked or not ?IDGAF""",,ethnicity,0.9983627
T0038,"""@97ghetto actually I wasnt donit that until you dumb ass niggers came in my mentions the world would be so sweet of y'all didn't fuck wit me""",,ethnicity,0.99837756
T0039,"""hi queen! first of all im rlly happy to be moots w u! seeing ur posts on my tl, esp the aesthetic themed threads, is one of my source of life ajjsgdhs. i hope we could interact more! anddd tbh i see u as a big sister here on twt . also, gl on ur exams! i’ll be praying for ya""",,ethnicity,0.9971745
T0040,"""They’re not allowed to! Because football is first. And if they fuck up on the field they can get called “dumb nigger” off it""",,ethnicity,0.99842775
T0041,"""this is why i don't give my number out. this nigger is dumb. as fuck.""",,ethnicity,0.9984187
T0042,"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""",,ethnicity,0.4749136
T0043,"""“@WayneL_Jr RT @BooBoo_Britt: WayneL_Jr your nigger ass is hella dumb fuck out of here” pic.twitter.com/4W6fV8bqnQ""",,ethnicity,0.9982108
T0044,"""Dumb ugly nigger name Wayne Positive trash soft ass nigga Dumb ugly fuck name Wayne soft ass nigga positive pic.twitter.com/23x4N9SKcO""",,ethnicity,0.99831885
T0045,"""Fuck dat sad ass hoe dawg ! Lol @ThaCockyKind: Lmao! Po lil hoe. RT @tayyoung_: FUCK OBAMA, dumb ass nigger""""",,ethnicity,0.9982577
T0046,"""You’re not the first one i’ve seen do it, but people are retreating to these minute and petty reasons to get him cancelled or question his character? What other intention do you think your tweet has? But if you genuinely enjoy discussing his cologne stench with ur friends go off!""",,ethnicity,0.9979498
